bins	start time(ps)	counts
741	5194690653	16
742	5201700833	18
743	5208710727	10
744	5215721132	19
745	5222731676	17
746	5229742454	8
747	5236752660	25
748	5243763118	17
749	5250773574	22
750	5257783436	20
751	5264794114	12
752	5271804781	19
753	5278815023	15
754	5285825106	16
755	5292835726	20
756	5299846366	13
757	5306856378	25
758	5313866408	14
759	5320877457	19
760	5327888170	15
761	5334898103	19
762	5341908244	20
763	5348918680	16
764	5355929149	17
765	5362939274	19
766	5369949749	10
767	5376960151	17
768	5383970550	16
769	5390980900	18
770	5397991357	17
771	5405002080	15
772	5412011932	14
773	5419022625	19
774	5426033041	25
775	5433043217	19
776	5440053445	16
777	5447063835	18
778	5454074406	16
779	5461084681	19
780	5468095075	19
781	5475105575	16
782	5482116000	10
783	5489126202	16
784	5496136629	10
785	5503147444	14
786	5510157503	19
787	5517167814	14
788	5524178354	19
789	5531188291	13
790	5538198937	19
791	5545209544	14
792	5552219635	13
793	5559229951	13
794	5566240451	17
795	5573251051	13
796	5580261315	22
797	5587271670	16
798	5594282013	21
799	5601292351	13
800	5608302689	20
801	5615313137	20
802	5622323970	10
803	5629334065	17
804	5636344308	16
805	5643354677	23
806	5650365030	13
807	5657375480	22
808	5664385589	22
809	5671396220	18
810	5678406516	17
811	5685417193	15
812	5692427068	20
813	5699437700	27
814	5706447828	18
815	5713458478	21
816	5720469126	14
817	5727479170	15
818	5734489460	27
819	5741500143	20
820	5748510326	16
821	5755520720	12
822	5762531159	17
823	5769541463	9
824	5776551694	15
825	5783562056	23
826	5790572410	18
827	5797583143	18
828	5804593182	18
829	5811603815	18
830	5818614100	17
831	5825624474	19
832	5832634923	19
833	5839645220	16
834	5846655693	16
835	5853666106	18
836	5860676524	19
837	5867686871	19
838	5874697098	15
839	5881707448	18
840	5888717938	14
841	5895728309	14
842	5902738550	22
843	5909749322	14
844	5916759500	11
845	5923769446	14
846	5930779874	14
847	5937790645	24
848	5944800943	17
849	5951811437	20
850	5958821722	13
851	5965832252	17
852	5972842511	12
853	5979852940	22
854	5986863397	14
855	5993873340	18
856	6000883830	21
857	6007894235	10
858	6014904578	20
859	6021915035	11
860	6028924989	19
861	6035935698	21
862	6042946404	18
863	6049956694	18
864	6056967158	25
865	6063977527	21
866	6070987770	22
867	6077998130	20
868	6085008600	22
869	6092018911	21
870	6099029497	13
871	6106039797	17
872	6113050199	16
873	6120060251	19
874	6127070764	18
875	6134081124	13
876	6141091575	13
877	6148101926	17
878	6155112408	20
879	6162122864	24
880	6169132928	23
881	6176143529	18
882	6183153800	15
883	6190164180	17
884	6197174621	20
885	6204185110	21
886	6211195188	16
887	6218205989	15
888	6225216196	19
889	6232226192	27
890	6239236660	10
891	6246247089	18
892	6253257502	24
893	6260267986	19
894	6267278512	21
895	6274288832	15
896	6281299232	13
897	6288309571	18
898	6295319964	18
899	6302330128	15
900	6309340502	22
901	6316351007	25
902	6323361400	17
903	6330371879	18
904	6337382041	18
905	6344392357	13
906	6351402980	20
907	6358413145	22
908	6365423585	22
909	6372434305	13
910	6379444556	19
911	6386454983	25
912	6393465156	18
913	6400475739	15
914	6407486151	17
915	6414496314	16
916	6421506802	10
917	6428517069	13
918	6435527441	16
919	6442537935	15
920	6449547986	13
921	6456558556	16
922	6463568946	21
923	6470579331	17
924	6477589586	14
925	6484600232	16
926	6491610610	15
927	6498620877	19
928	6505631371	23
929	6512641617	19
930	6519651836	19
931	6526662388	19
932	6533672694	26
933	6540683185	19
934	6547693604	13
935	6554703797	20
936	6561714170	22
937	6568724482	10
938	6575735173	15
939	6582745421	14
940	6589755618	22
941	6596766200	9
942	6603776674	21
943	6610786872	15
944	6617797356	16
945	6624808028	19
946	6631818174	14
947	6638828461	19
948	6645838818	19
949	6652849058	17
950	6659859349	16
951	6666870009	12
952	6673880216	20
953	6680890549	21
954	6687901021	11
955	6694911378	17
956	6701921720	16
957	6708932089	20
958	6715942456	16
959	6722953009	16
960	6729963450	16
961	6736973828	13
962	6743984172	18
963	6750994617	17
964	6758004843	16
965	6765015239	20
966	6772025422	22
967	6779035988	20
968	6786046499	14
969	6793056725	16
970	6800067275	10
971	6807077788	20
972	6814088032	17
973	6821098469	12
974	6828108751	20
975	6835119226	14
976	6842129202	11
977	6849139867	12
978	6856150250	20
979	6863160460	22
980	6870170839	12
981	6877181291	16
982	6884191815	17
983	6891202341	18
984	6898212179	14
985	6905222630	13
986	6912232889	19
987	6919243552	17
988	6926254335	23
989	6933264658	17
990	6940274832	15
991	6947285020	18
992	6954295246	18
993	6961305823	18
994	6968316402	25
995	6975326508	18
996	6982336778	13
997	6989347290	11
998	6996357682	12
999	7003367853	19
